t,last5_index,Vhat
1,1,5915.334711709391
2,1,5853.285676248309
3,1,5322.479952909664
4,1,5010.56747278325
5,1,6021.686670955349
6,1,9126.751216110202
7,1,6388.977032845885
8,1,5731.331117766272
9,1,6801.372175646522
10,1,7845.678568250292
11,1,9426.756788436576
12,1,11679.066582666408
13,1,12099.989837053898
14,1,12094.345917919865
15,1,14393.910464214434
16,1,14039.350283196914
17,1,13908.456264669592
18,1,13226.409974593984
19,1,11972.64393121241
20,1,11608.259074788395
21,1,11446.90220315714
22,1,11402.17607200576
23,1,10591.448047852698
24,1,10126.558484410161
25,1,9806.87204077493
26,1,9324.326493767478
27,1,8951.603221103669
28,1,7496.513630170446
29,1,6727.173535495935
30,1,6134.941921564072
31,1,5675.597106109221
32,1,5193.4590413951255
33,1,4809.37133469942
34,1,4319.857649021717
35,1,6023.314800439623
36,1,6614.745412903859
37,1,7034.684493788489
38,1,6943.073221565209
39,1,6953.16544909748
40,1,6826.130459942399
41,1,7006.178577917388
42,1,6573.916816026789
43,1,5947.396054816683
44,1,5264.047940926308
45,1,6475.534694991054
46,1,8516.503170242178
47,1,9045.297511521972
1,2,6326.231678514234
2,2,6375.635801480312
3,2,5943.32393394678
4,2,5449.91648897147
5,2,4144.205151136883
6,2,3455.5938787210303
7,2,3205.386338164414
8,2,4500.85058894649
9,2,5638.435212566743
10,2,6734.418299024297
11,2,8265.544446205276
12,2,10339.081409882738
13,2,12427.084602020586
14,2,14672.698176489197
15,2,16718.87961068092
16,2,18602.719471507233
17,2,18380.690248275
18,2,17871.792582065867
19,2,17027.19931253051
20,2,16961.35652539193
21,2,16453.78028732103
22,2,16130.817443287251
23,2,15430.559956922609
24,2,14742.511342279438
25,2,13940.363207279477
26,2,13309.60313896359
27,2,12450.5051220555
28,2,10801.31664751048
29,2,9438.769698314616
30,2,8560.229105014227
31,2,8445.964914773916
32,2,8005.506439736266
33,2,7593.987378649265
34,2,7186.273049495954
35,2,7229.214589236148
36,2,7879.840400548997
37,2,7930.498432015431
38,2,9616.665483204302
39,2,8598.130136562933
40,2,8500.051285591975
41,2,8424.322554909504
42,2,8224.48271221831
43,2,7426.569909866543
44,2,6799.808752981335
45,2,5505.348124785391
46,2,6191.801485522148
47,2,4727.923611279832
1,3,6115.223817906333
2,3,5962.129747624032
3,3,5585.571523760626
4,3,4948.738535438277
5,3,5910.8341488402175
6,3,6531.966478497424
7,3,7603.71848165361
8,3,8775.122530823379
9,3,9698.799122695691
10,3,10649.117216999515
11,3,12356.587227286947
12,3,13006.398895184771
13,3,15215.816468418101
14,3,17620.53631480875
15,3,19787.56914601065
16,3,22303.41504585535
17,3,21503.86578334627
18,3,20882.842982415947
19,3,19627.07643866997
20,3,19859.144807459343
21,3,19450.28728231509
22,3,19804.149251631774
23,3,18696.143521012287
24,3,17779.70009316417
25,3,16543.55311439587
26,3,15206.109594251608
27,3,13725.970424279854
28,3,11784.600389685758
29,3,10292.213394887105
30,3,10205.361760997734
31,3,9848.258074102048
32,3,9737.32963869008
33,3,9774.468816930232
34,3,9336.25764687653
35,3,9609.491766558785
36,3,10872.219052612141
37,3,11061.531697185492
38,3,13129.452395284436
39,3,13766.735107650273
40,3,14016.845846007061
41,3,14294.91243775967
42,3,13990.43261304767
43,3,13380.210436761721
44,3,11890.665720427329
45,3,10608.88403796351
46,3,11775.312097596328
47,3,9222.559825682107
1,4,6127.968114917923
2,4,6155.808333345772
3,4,5945.6967310882255
4,4,5710.309355583244
5,4,4448.590274122339
6,4,3854.710364366491
7,4,3466.3560997074032
8,4,3221.6507704014293
9,4,4488.592616946264
10,4,5699.849211661083
11,4,7261.875544177431
12,4,9312.666576759697
13,4,11409.509089217361
14,4,13739.655172717443
15,4,14109.918954340548
16,4,13737.20894752559
17,4,13221.505264177718
18,4,14421.702224921377
19,4,13551.4338092609
20,4,11734.912946644032
21,4,11222.740147722947
22,4,10762.866997005
23,4,11770.264378251171
24,4,11464.715140726781
25,4,10357.384146264329
26,4,9301.614726844637
27,4,9169.339202296793
28,4,7790.241364497737
29,4,6835.480637626164
30,4,6398.078055038704
31,4,5844.997024535745
32,4,5372.291591281615
33,4,5423.391175627137
34,4,5262.743107063481
35,4,4913.136084200451
36,4,4901.182094994132
37,4,6301.257261445791
38,4,7736.659500772092
39,4,9350.227172460553
40,4,11084.420324938852
41,4,12727.663738162348
42,4,14177.906193349201
43,4,15508.70681108792
44,4,16699.087460041395
45,4,16211.503796293007
46,4,17258.731466303194
47,4,16156.86664194665
1,5,5846.613074113733
2,5,5802.600631894419
3,5,5813.212034996045
4,5,5395.521851020151
5,5,4373.343359215576
6,5,3468.127213158281
7,5,4714.967056569458
8,5,6007.412173649929
9,5,7098.953572051801
10,5,8155.15842466148
11,5,9746.56473727313
12,5,11950.245394276251
13,5,14133.634685902842
14,5,16479.1311035782
15,5,18611.083524200967
16,5,20321.545271436717
17,5,21498.84481559127
18,5,22575.21693758153
19,5,23639.036502132807
20,5,26452.14337214206
21,5,24085.211378638945
22,5,23927.084109019765
23,5,22912.430966344014
24,5,22568.070029540293
25,5,21068.270674052503
26,5,19768.09299933355
27,5,18261.985185193847
28,5,15920.586342761175
29,5,14500.55304936269
30,5,13640.41033253949
31,5,13079.017796130978
32,5,12593.65136638324
33,5,12650.79077428652
34,5,12336.23007141166
35,5,13935.368449471624
36,5,15705.6641644536
37,5,17755.546387243765
38,5,19758.575297185023
39,5,23843.8325427612
40,5,22898.349859663103
41,5,23012.047416813795
42,5,24735.86036649985
43,5,23810.53925591912
44,5,21178.15642399508
45,5,21700.093271257403
46,5,22751.806876383893
47,5,18441.77833642664
